name,stream_url,homepage,country,language,tags,codec,bitrate
Alive Radio 107.3,http://stream2.hippynet.co.uk:8013/;,https://aliveradio.net/,The United Kingdom Of Great Britain And Northern Ireland,english,"dance,hits,pop,rock",MP3,128
All FM,http://uksoutha.streaming.broadcast.radio:15870/allfm.m3u,https://allfm.org/,The United Kingdom Of Great Britain And Northern Ireland,english uk,"community,music",AAC+,0
ALL FM 96.9,http://uksoutha.streaming.broadcast.radio:15870/allfm,https://allfm.org/,The United Kingdom Of Great Britain And Northern Ireland,english,community radio,AAC+,0
Alpha Wave Radio,https://listentomystream.com:8068/stream,https://www.alphawaveradio.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,320
Amazing Radio,http://amazingradio.stream.laut.fm/amazingradio?t302=2023-11-01_18-04-38&uuid=9dc21e5d-5102-400a-b0a3-acf860947777,https://amazingradio.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"electronica,hip hop,indie,jazz,new music,pop,rock",MP3,128
Amber Radio,https://stream3.themediasite.co.uk:8240/listen.mp3?sid=3,https://amber.radio/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
Amber Radio (Norwich)128k AAC,http://stream3.themediasite.co.uk:8240/listen.pls?sid=5,https://amber.radio/,The United Kingdom Of Great Britain And Northern Ireland,english,,AAC+,128
Amber Sound FM,http://92.27.32.159:8400/live,http://www.ambersoundfm.com/,The United Kingdom Of Great Britain And Northern Ireland,,,AAC+,48
Ambient & Chill Radio,https://eilo.org/getm3u.php?m3u=ambient,https://eilo.org/index.php,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
Ambition Radio,http://s30.radiolize.com/radio/8060/radio.mp3,https://ambitionradio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,192
Ambron Radio,https://c4.radioboss.fm:8497/stream,https://ambronradio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
Ambur Radio,https://radio.garden/api/ara/content/listen/FEBrvDEk/channel.mp3?1743950367875,https://amburfm.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
